20220518234517,10.0.0.2,39072,10.0.0.1,5001,3,0.0-1.0,1703936,13631488
20220518234518,10.0.0.2,39072,10.0.0.1,5001,3,1.0-2.0,1441792,11534336
20220518234519,10.0.0.2,39072,10.0.0.1,5001,3,2.0-3.0,1703936,13631488
20220518234520,10.0.0.2,39072,10.0.0.1,5001,3,3.0-4.0,1179648,9437184
20220518234521,10.0.0.2,39072,10.0.0.1,5001,3,4.0-5.0,1830432,14643456
20220518234522,10.0.0.2,39072,10.0.0.1,5001,3,5.0-6.0,1563840,12510720
20220518234523,10.0.0.2,39072,10.0.0.1,5001,3,6.0-7.0,781920,6255360
20220518234524,10.0.0.2,39072,10.0.0.1,5001,3,7.0-8.0,1563840,12510720
20220518234525,10.0.0.2,39072,10.0.0.1,5001,3,8.0-9.0,1498680,11989440
20220518234526,10.0.0.2,39072,10.0.0.1,5001,3,9.0-10.0,1433520,11468160
20220518234527,10.0.0.2,39072,10.0.0.1,5001,3,10.0-11.0,1172880,9383040
20220518234528,10.0.0.2,39072,10.0.0.1,5001,3,11.0-12.0,1238040,9904320
20220518234529,10.0.0.2,39072,10.0.0.1,5001,3,12.0-13.0,1172880,9383040
20220518234530,10.0.0.2,39072,10.0.0.1,5001,3,13.0-14.0,1238040,9904320
20220518234531,10.0.0.2,39072,10.0.0.1,5001,3,14.0-15.0,1238040,9904320
20220518234532,10.0.0.2,39072,10.0.0.1,5001,3,15.0-16.0,1238040,9904320
20220518234533,10.0.0.2,39072,10.0.0.1,5001,3,16.0-17.0,1238040,9904320
20220518234534,10.0.0.2,39072,10.0.0.1,5001,3,17.0-18.0,1238040,9904320
20220518234535,10.0.0.2,39072,10.0.0.1,5001,3,18.0-19.0,1172880,9383040
20220518234536,10.0.0.2,39072,10.0.0.1,5001,3,19.0-20.0,1238040,9904320
20220518234537,10.0.0.2,39072,10.0.0.1,5001,3,20.0-21.0,1238040,9904320
20220518234538,10.0.0.2,39072,10.0.0.1,5001,3,21.0-22.0,1238040,9904320
20220518234539,10.0.0.2,39072,10.0.0.1,5001,3,22.0-23.0,1172880,9383040
20220518234540,10.0.0.2,39072,10.0.0.1,5001,3,23.0-24.0,1238040,9904320
20220518234541,10.0.0.2,39072,10.0.0.1,5001,3,24.0-25.0,1238040,9904320
20220518234542,10.0.0.2,39072,10.0.0.1,5001,3,25.0-26.0,1172880,9383040
20220518234543,10.0.0.2,39072,10.0.0.1,5001,3,26.0-27.0,1303200,10425600
20220518234544,10.0.0.2,39072,10.0.0.1,5001,3,27.0-28.0,586440,4691520
20220518234545,10.0.0.2,39072,10.0.0.1,5001,3,28.0-29.0,1238040,9904320
20220518234546,10.0.0.2,39072,10.0.0.1,5001,3,29.0-30.0,1172880,9383040
20220518234547,10.0.0.2,39072,10.0.0.1,5001,3,30.0-31.0,1238040,9904320
20220518234548,10.0.0.2,39072,10.0.0.1,5001,3,31.0-32.0,1238040,9904320
20220518234549,10.0.0.2,39072,10.0.0.1,5001,3,32.0-33.0,1238040,9904320
20220518234550,10.0.0.2,39072,10.0.0.1,5001,3,33.0-34.0,1238040,9904320
20220518234551,10.0.0.2,39072,10.0.0.1,5001,3,34.0-35.0,1238040,9904320
20220518234552,10.0.0.2,39072,10.0.0.1,5001,3,35.0-36.0,1172880,9383040
20220518234553,10.0.0.2,39072,10.0.0.1,5001,3,36.0-37.0,1238040,9904320
20220518234554,10.0.0.2,39072,10.0.0.1,5001,3,37.0-38.0,1238040,9904320
20220518234555,10.0.0.2,39072,10.0.0.1,5001,3,38.0-39.0,1238040,9904320
20220518234556,10.0.0.2,39072,10.0.0.1,5001,3,39.0-40.0,1172880,9383040
20220518234557,10.0.0.2,39072,10.0.0.1,5001,3,40.0-41.0,1238040,9904320
20220518234558,10.0.0.2,39072,10.0.0.1,5001,3,41.0-42.0,1238040,9904320
20220518234559,10.0.0.2,39072,10.0.0.1,5001,3,42.0-43.0,1172880,9383040
20220518234600,10.0.0.2,39072,10.0.0.1,5001,3,43.0-44.0,1238040,9904320
20220518234601,10.0.0.2,39072,10.0.0.1,5001,3,44.0-45.0,1303200,10425600
20220518234602,10.0.0.2,39072,10.0.0.1,5001,3,45.0-46.0,1172880,9383040
20220518234603,10.0.0.2,39072,10.0.0.1,5001,3,46.0-47.0,1238040,9904320
20220518234604,10.0.0.2,39072,10.0.0.1,5001,3,47.0-48.0,1172880,9383040
20220518234605,10.0.0.2,39072,10.0.0.1,5001,3,48.0-49.0,1238040,9904320
20220518234606,10.0.0.2,39072,10.0.0.1,5001,3,49.0-50.0,586440,4691520
20220518234607,10.0.0.2,39072,10.0.0.1,5001,3,50.0-51.0,1303200,10425600
20220518234608,10.0.0.2,39072,10.0.0.1,5001,3,51.0-52.0,1238040,9904320
20220518234609,10.0.0.2,39072,10.0.0.1,5001,3,52.0-53.0,1172880,9383040
20220518234610,10.0.0.2,39072,10.0.0.1,5001,3,53.0-54.0,1238040,9904320
20220518234611,10.0.0.2,39072,10.0.0.1,5001,3,54.0-55.0,1238040,9904320
20220518234612,10.0.0.2,39072,10.0.0.1,5001,3,55.0-56.0,1238040,9904320
20220518234613,10.0.0.2,39072,10.0.0.1,5001,3,56.0-57.0,1172880,9383040
20220518234614,10.0.0.2,39072,10.0.0.1,5001,3,57.0-58.0,1238040,9904320
20220518234615,10.0.0.2,39072,10.0.0.1,5001,3,58.0-59.0,1238040,9904320
20220518234616,10.0.0.2,39072,10.0.0.1,5001,3,59.0-60.0,1238040,9904320
20220518234616,10.0.0.2,39072,10.0.0.1,5001,3,0.0-60.3,74648744,9910512
