1652931917.301524,s1-eth1,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1652931917.301572,lo,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1652931917.301584,s1-eth2,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1652931917.301593,eth0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1652931917.301600,total,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1652931918.302337,s1-eth1,1223365.00,27352.00,1250717.00,27352,1223365,430.00,414.00,844.00,414,430,0.00,0.00,0,0
1652931918.302386,lo,1432.00,1432.00,2864.00,1432,1432,12.00,12.00,24.00,12,12,0.00,0.00,0,0
1652931918.302401,s1-eth2,28822.00,1222612.00,1251434.00,1222612,28822,424.00,424.00,848.00,424,424,0.00,0.00,0,0
1652931918.302416,eth0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1652931918.302425,total,1253619.00,1251396.00,2505015.00,1251396,1253619,866.00,850.00,1716.00,850,866,0.00,0.00,0,0
1652931919.303057,s1-eth1,1226401.00,27216.00,1253617.00,27216,1226401,429.00,412.00,841.00,412,429,0.00,0.00,0,0
1652931919.303103,lo,756.00,756.00,1512.00,756,756,6.00,6.00,12.00,6,6,0.00,0.00,0,0
1652931919.303117,s1-eth2,27663.00,1225504.00,1253167.00,1225504,27663,415.00,424.00,839.00,424,415,0.00,0.00,0,0
1652931919.303132,eth0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1652931919.303142,total,1254820.00,1253476.00,2508296.00,1253476,1254820,850.00,842.00,1692.00,842,850,0.00,0.00,0,0
1652931920.303966,s1-eth1,1222587.00,27192.00,1249779.00,27192,1222587,422.00,412.00,834.00,412,422,0.00,0.00,0,0
1652931920.304257,lo,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1652931920.304292,s1-eth2,27098.90,1221164.88,1248263.75,1222386,27126,410.59,420.58,831.17,421,411,0.00,0.00,0,0
1652931920.304318,eth0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1652931920.304948,total,1248464.62,1248329.75,2496794.25,1249578,1249713,832.17,832.17,1664.34,833,833,0.00,0.00,0,0
1652931921.305830,s1-eth1,1212533.50,26637.36,1239170.88,26664,1213746,419.58,403.60,823.18,404,420,0.00,0.00,0,0
1652931921.305866,lo,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1652931921.305875,s1-eth2,26817.18,1215312.75,1242129.88,1216528,26844,404.60,419.58,824.18,420,405,0.00,0.00,0,0
1652931921.305994,eth0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1652931921.306002,total,1239350.62,1241950.12,2481300.75,1243192,1240590,824.18,823.18,1647.35,824,825,0.00,0.00,0,0
1652931922.306220,s1-eth1,1221279.00,27130.00,1248409.00,27130,1221279,424.00,411.00,835.00,411,424,0.00,0.00,0,0
1652931922.306251,lo,676.00,676.00,1352.00,676,676,6.00,6.00,12.00,6,6,0.00,0.00,0,0
